TrainNo,StationID,DepartureHour,DepartureMin,StopSequence
300,1070,5,50,1
300,1060,6,3,2
300,1050,6,21,3
300,1047,6,34,4
300,1043,6,44,5
300,1040,6,56,6
300,1020,7,28,7
300,1000,7,47,8
300,990,7,58,9
802,1070,6,15,1
802,1060,6,29,2
802,1050,6,48,3
802,1047,7,0,4
802,1043,7,13,5
802,1040,7,25,6
802,1035,7,45,7
802,1030,7,58,8
802,1020,8,10,9
802,1010,8,22,10
802,1000,8,32,11
802,990,8,43,12
502,1040,6,25,1
502,1035,6,44,2
502,1030,6,57,3
502,1020,7,9,4
502,1010,7,22,5
502,1000,7,32,6
502,990,7,43,7
1202,1070,6,25,1
1202,1060,6,38,2
1202,1050,6,57,3
1202,1040,7,21,4
1202,1000,8,7,5
1202,990,8,18,6
1602,1070,6,40,1
1602,1060,6,53,2
1602,1050,7,12,3
1602,1040,7,40,4
1602,1030,8,5,5
1602,1020,8,18,6
1602,1010,8,31,7
1602,1000,8,42,8
1602,990,8,53,9
1302,1070,6,45,1
1302,1060,6,59,2
1302,1050,7,19,3
1302,1047,7,32,4
1302,1043,7,42,5
1302,1040,7,53,6
1302,1010,8,36,7
1302,1000,8,47,8
1302,990,8,58,9
1504,1040,6,45,1
1504,1035,7,5,2
1504,1030,7,19,3
1504,1020,7,35,4
1504,1010,7,47,5
1504,1000,7,57,6
1504,990,8,8,7
204,1070,6,55,1
204,1060,7,7,2
204,1040,7,48,3
204,1010,8,27,4
204,1000,8,37,5
204,990,8,48,6
606,1070,7,0,1
606,1060,7,13,2
606,1050,7,32,3
606,1040,8,0,4
606,1030,8,25,5
606,1020,8,38,6
606,1010,8,51,7
606,1000,9,2,8
606,990,9,13,9
1508,1040,7,5,1
1508,1035,7,25,2
1508,1030,7,38,3
1508,1020,7,51,4
1508,1010,8,5,5
1508,1000,8,16,6
1508,990,8,28,7
206,1070,7,15,1
206,1060,7,28,2
206,1040,8,8,3
206,1010,8,47,4
206,1000,8,57,5
206,990,9,8,6
806,1070,7,25,1
806,1060,7,41,2
806,1050,8,0,3
806,1047,8,12,4
806,1043,8,24,5
806,1040,8,36,6
806,1035,8,56,7
806,1030,9,8,8
806,1020,9,20,9
806,1010,9,32,10
806,1000,9,42,11
806,990,9,53,12
610,1070,7,35,1
610,1060,7,48,2
610,1050,8,8,3
610,1040,8,32,4
610,1030,8,57,5
610,1020,9,11,6
610,1010,9,25,7
610,1000,9,36,8
610,990,9,48,9
108,1070,7,55,1
108,1040,8,39,2
108,1010,9,21,3
108,1000,9,32,4
108,990,9,43,5
612,1070,8,0,1
612,1060,8,13,2
612,1050,8,32,3
612,1040,9,0,4
612,1030,9,25,5
612,1020,9,38,6
612,1010,9,51,7
612,1000,10,2,8
612,990,10,13,9
1514,1040,8,4,1
1514,1035,8,24,2
1514,1030,8,39,3
1514,1020,8,51,4
1514,1010,9,5,5
1514,1000,9,16,6
1514,990,9,28,7
810,1070,8,25,1
810,1060,8,41,2
810,1050,9,0,3
810,1047,9,12,4
810,1043,9,24,5
810,1040,9,36,6
810,1035,9,56,7
810,1030,10,8,8
810,1020,10,20,9
810,1010,10,32,10
810,1000,10,42,11
810,990,10,53,12
616,1070,8,35,1
616,1060,8,48,2
616,1050,9,8,3
616,1040,9,32,4
616,1030,9,57,5
616,1020,10,11,6
616,1010,10,25,7
616,1000,10,36,8
616,990,10,48,9
112,1070,8,55,1
112,1040,9,39,2
112,1010,10,21,3
112,1000,10,32,4
112,990,10,43,5
618,1070,9,0,1
618,1060,9,13,2
618,1050,9,32,3
618,1040,10,0,4
618,1030,10,25,5
618,1020,10,38,6
618,1010,10,51,7
618,1000,11,2,8
618,990,11,13,9
814,1070,9,25,1
814,1060,9,41,2
814,1050,10,0,3
814,1047,10,12,4
814,1043,10,24,5
814,1040,10,36,6
814,1035,10,56,7
814,1030,11,8,8
814,1020,11,20,9
814,1010,11,32,10
814,1000,11,42,11
814,990,11,53,12
116,1070,9,55,1
116,1040,10,39,2
116,1010,11,21,3
116,1000,11,32,4
116,990,11,43,5
624,1070,10,0,1
624,1060,10,13,2
624,1050,10,32,3
624,1040,11,0,4
624,1030,11,25,5
624,1020,11,38,6
624,1010,11,51,7
624,1000,12,2,8
624,990,12,13,9
818,1070,10,25,1
818,1060,10,41,2
818,1050,11,0,3
818,1047,11,12,4
818,1043,11,24,5
818,1040,11,36,6
818,1035,11,56,7
818,1030,12,8,8
818,1020,12,20,9
818,1010,12,32,10
818,1000,12,42,11
818,990,12,53,12
628,1070,10,35,1
628,1060,10,48,2
628,1050,11,8,3
628,1040,11,32,4
628,1030,11,57,5
628,1020,12,11,6
628,1010,12,25,7
628,1000,12,36,8
628,990,12,48,9
120,1070,10,55,1
120,1040,11,39,2
120,1010,12,21,3
120,1000,12,32,4
120,990,12,43,5
630,1070,11,0,1
630,1060,11,13,2
630,1050,11,32,3
630,1040,12,0,4
630,1030,12,25,5
630,1020,12,38,6
630,1010,12,51,7
630,1000,13,2,8
630,990,13,13,9
822,1070,11,25,1
822,1060,11,41,2
822,1050,12,0,3
822,1047,12,12,4
822,1043,12,24,5
822,1040,12,36,6
822,1035,12,56,7
822,1030,13,8,8
822,1020,13,20,9
822,1010,13,32,10
822,1000,13,42,11
822,990,13,53,12
124,1070,11,55,1
124,1040,12,39,2
124,1010,13,21,3
124,1000,13,32,4
124,990,13,43,5
636,1070,12,0,1
636,1060,12,13,2
636,1050,12,32,3
636,1040,13,0,4
636,1030,13,25,5
636,1020,13,38,6
636,1010,13,51,7
636,1000,14,2,8
636,990,14,13,9
826,1070,12,25,1
826,1060,12,41,2
826,1050,13,0,3
826,1047,13,12,4
826,1043,13,24,5
826,1040,13,36,6
826,1035,13,56,7
826,1030,14,8,8
826,1020,14,20,9
826,1010,14,32,10
826,1000,14,42,11
826,990,14,53,12
128,1070,12,55,1
128,1040,13,39,2
128,1010,14,21,3
128,1000,14,32,4
128,990,14,43,5
642,1070,13,0,1
642,1060,13,13,2
642,1050,13,32,3
642,1040,14,0,4
642,1030,14,25,5
642,1020,14,38,6
642,1010,14,51,7
642,1000,15,2,8
642,990,15,13,9
830,1070,13,25,1
830,1060,13,41,2
830,1050,14,0,3
830,1047,14,12,4
830,1043,14,24,5
830,1040,14,36,6
830,1035,14,56,7
830,1030,15,8,8
830,1020,15,20,9
830,1010,15,32,10
830,1000,15,42,11
830,990,15,53,12
132,1070,13,55,1
132,1040,14,39,2
132,1010,15,21,3
132,1000,15,32,4
132,990,15,43,5
648,1070,14,0,1
648,1060,14,13,2
648,1050,14,32,3
648,1040,15,0,4
648,1030,15,25,5
648,1020,15,38,6
648,1010,15,51,7
648,1000,16,2,8
648,990,16,13,9
834,1070,14,25,1
834,1060,14,41,2
834,1050,15,0,3
834,1047,15,12,4
834,1043,15,24,5
834,1040,15,36,6
834,1035,15,56,7
834,1030,16,8,8
834,1020,16,20,9
834,1010,16,32,10
834,1000,16,42,11
834,990,16,53,12
136,1070,14,55,1
136,1040,15,39,2
136,1010,16,21,3
136,1000,16,32,4
136,990,16,43,5
654,1070,15,0,1
654,1060,15,13,2
654,1050,15,32,3
654,1040,16,0,4
654,1030,16,25,5
654,1020,16,38,6
654,1010,16,51,7
654,1000,17,2,8
654,990,17,13,9
838,1070,15,25,1
838,1060,15,41,2
838,1050,16,0,3
838,1047,16,12,4
838,1043,16,24,5
838,1040,16,36,6
838,1035,16,56,7
838,1030,17,8,8
838,1020,17,20,9
838,1010,17,32,10
838,1000,17,42,11
838,990,17,53,12
140,1070,15,55,1
140,1040,16,39,2
140,1010,17,21,3
140,1000,17,32,4
140,990,17,43,5
660,1070,16,0,1
660,1060,16,13,2
660,1050,16,32,3
660,1040,17,0,4
660,1030,17,25,5
660,1020,17,38,6
660,1010,17,51,7
660,1000,18,2,8
660,990,18,13,9
242,1070,16,15,1
242,1060,16,28,2
242,1040,17,8,3
242,1010,17,47,4
242,1000,17,57,5
242,990,18,8,6
842,1070,16,25,1
842,1060,16,41,2
842,1050,17,0,3
842,1047,17,12,4
842,1043,17,24,5
842,1040,17,36,6
842,1035,17,56,7
842,1030,18,8,8
842,1020,18,20,9
842,1010,18,32,10
842,1000,18,42,11
842,990,18,53,12
664,1070,16,35,1
664,1060,16,48,2
664,1050,17,8,3
664,1040,17,32,4
664,1030,17,57,5
664,1020,18,11,6
664,1010,18,25,7
664,1000,18,36,8
664,990,18,48,9
144,1070,16,55,1
144,1040,17,39,2
144,1010,18,21,3
144,1000,18,32,4
144,990,18,43,5
666,1070,17,0,1
666,1060,17,13,2
666,1050,17,32,3
666,1040,18,0,4
666,1030,18,25,5
666,1020,18,38,6
666,1010,18,51,7
666,1000,19,2,8
666,990,19,13,9
846,1070,17,25,1
846,1060,17,41,2
846,1050,18,0,3
846,1047,18,12,4
846,1043,18,24,5
846,1040,18,36,6
846,1035,18,56,7
846,1030,19,8,8
846,1020,19,20,9
846,1010,19,32,10
846,1000,19,42,11
846,990,19,53,12
670,1070,17,35,1
670,1060,17,48,2
670,1050,18,8,3
670,1040,18,32,4
670,1030,18,57,5
670,1020,19,11,6
670,1010,19,25,7
670,1000,19,36,8
670,990,19,48,9
148,1070,17,55,1
148,1040,18,39,2
148,1010,19,21,3
148,1000,19,32,4
148,990,19,43,5
672,1070,18,0,1
672,1060,18,13,2
672,1050,18,32,3
672,1040,19,0,4
672,1030,19,25,5
672,1020,19,38,6
672,1010,19,51,7
672,1000,20,2,8
672,990,20,13,9
850,1070,18,25,1
850,1060,18,41,2
850,1050,19,0,3
850,1047,19,12,4
850,1043,19,24,5
850,1040,19,36,6
850,1035,19,56,7
850,1030,20,8,8
850,1020,20,20,9
850,1010,20,32,10
850,1000,20,42,11
850,990,20,53,12
676,1070,18,35,1
676,1060,18,48,2
676,1050,19,8,3
676,1040,19,32,4
676,1030,19,57,5
676,1020,20,11,6
676,1010,20,25,7
676,1000,20,36,8
676,990,20,48,9
152,1070,18,55,1
152,1040,19,39,2
152,1010,20,21,3
152,1000,20,32,4
152,990,20,43,5
678,1070,19,0,1
678,1060,19,13,2
678,1050,19,32,3
678,1040,20,0,4
678,1030,20,25,5
678,1020,20,38,6
678,1010,20,51,7
678,1000,21,2,8
678,990,21,13,9
854,1070,19,25,1
854,1060,19,41,2
854,1050,20,0,3
854,1047,20,12,4
854,1043,20,24,5
854,1040,20,36,6
854,1035,20,56,7
854,1030,21,8,8
854,1020,21,20,9
854,1010,21,32,10
854,1000,21,42,11
854,990,21,53,12
156,1070,19,55,1
156,1040,20,39,2
156,1010,21,21,3
156,1000,21,32,4
156,990,21,43,5
684,1070,20,0,1
684,1060,20,13,2
684,1050,20,32,3
684,1040,21,0,4
684,1030,21,25,5
684,1020,21,38,6
684,1010,21,51,7
684,1000,22,2,8
684,990,22,13,9
858,1070,20,25,1
858,1060,20,41,2
858,1050,21,0,3
858,1047,21,12,4
858,1043,21,24,5
858,1040,21,36,6
858,1035,21,56,7
858,1030,22,8,8
858,1020,22,20,9
858,1010,22,32,10
858,1000,22,42,11
858,990,22,53,12
160,1070,20,55,1
160,1040,21,39,2
160,1010,22,21,3
160,1000,22,32,4
160,990,22,43,5
690,1070,21,5,1
690,1060,21,18,2
690,1050,21,37,3
690,1040,22,5,4
690,1030,22,30,5
690,1020,22,43,6
690,1010,22,56,7
690,1000,23,7,8
690,990,23,18,9
862,1070,21,30,1
862,1060,21,44,2
862,1050,22,3,3
862,1047,22,16,4
862,1043,22,28,5
862,1040,22,40,6
862,1035,23,0,7
862,1030,23,12,8
862,1020,23,25,9
862,1010,23,37,10
862,1000,23,47,11
862,990,23,58,12
696,1070,21,55,1
696,1060,22,11,2
696,1050,22,32,3
696,1040,22,59,4
696,1030,23,27,5
696,1020,23,40,6
696,1010,23,52,7
696,1000,0,2,8
294,1070,22,10,1
294,1060,22,23,2
294,1040,23,3,3
294,1010,23,42,4
294,1000,23,52,5
294,990,0,2,6
598,1070,22,55,1
598,1060,23,8,2
598,1050,23,27,3
598,1047,23,39,4
598,1043,23,49,5
598,1040,0,19,6
803,990,6,15,1
803,1000,6,26,2
803,1010,6,34,3
803,1020,6,49,4
803,1030,7,2,5
803,1035,7,13,6
803,1040,7,32,7
803,1043,7,45,8
803,1047,7,56,9
803,1050,8,10,10
803,1060,8,28,11
803,1070,8,43,12
583,1040,6,25,1
583,1043,6,37,2
583,1047,6,47,3
583,1050,6,59,4
583,1060,7,17,5
583,1070,7,33,6
203,1000,6,30,1
203,1010,6,38,2
203,1040,7,20,3
203,1050,7,45,4
203,1060,8,3,5
203,1070,8,18,6
603,990,6,40,1
603,1000,6,51,2
603,1010,7,0,3
603,1020,7,15,4
603,1030,7,27,5
603,1040,7,53,6
603,1050,8,19,7
603,1060,8,38,8
603,1070,8,53,9
805,990,7,0,1
805,1000,7,11,2
805,1010,7,19,3
805,1020,7,34,4
805,1030,7,47,5
805,1035,7,58,6
805,1040,8,17,7
805,1043,8,30,8
805,1047,8,41,9
805,1050,8,55,10
805,1060,9,13,11
805,1070,9,28,12
109,990,7,20,1
109,1000,7,31,2
109,1010,7,39,3
109,1040,8,20,4
109,1070,9,8,5
1505,990,7,25,1
1505,1000,7,36,2
1505,1010,7,46,3
1505,1020,8,1,4
1505,1030,8,12,5
1505,1035,8,25,6
1505,1040,8,57,7
609,990,7,35,1
609,1000,7,46,2
609,1010,7,55,3
609,1020,8,10,4
609,1030,8,22,5
609,1040,8,48,6
609,1050,9,14,7
609,1060,9,33,8
609,1070,10,3,9
205,990,7,40,1
205,1000,7,51,2
205,1010,7,59,3
205,1040,8,40,4
205,1060,9,18,5
205,1070,9,45,6
809,990,8,0,1
809,1000,8,11,2
809,1010,8,19,3
809,1020,8,34,4
809,1030,8,47,5
809,1035,8,58,6
809,1040,9,17,7
809,1043,9,30,8
809,1047,9,41,9
809,1050,9,55,10
809,1060,10,13,11
809,1070,10,28,12
613,990,8,10,1
613,1000,8,21,2
613,1010,8,29,3
613,1020,8,43,4
613,1030,8,56,5
613,1040,9,25,6
613,1050,9,50,7
613,1060,10,7,8
613,1070,10,23,9
113,990,8,20,1
113,1000,8,31,2
113,1010,8,39,3
113,1040,9,20,4
113,1070,10,8,5
615,990,8,35,1
615,1000,8,46,2
615,1010,8,55,3
615,1020,9,10,4
615,1030,9,22,5
615,1040,9,48,6
615,1050,10,14,7
615,1060,10,33,8
615,1070,10,48,9
1307,990,8,50,1
1307,1000,9,1,2
1307,1010,9,10,3
1307,1040,9,54,4
1307,1043,10,6,5
1307,1047,10,17,6
1307,1050,10,30,7
1307,1060,10,48,8
1307,1070,11,15,9
813,990,9,0,1
813,1000,9,11,2
813,1010,9,19,3
813,1020,9,34,4
813,1030,9,47,5
813,1035,9,58,6
813,1040,10,17,7
813,1043,10,30,8
813,1047,10,41,9
813,1050,10,55,10
813,1060,11,13,11
813,1070,11,28,12
619,990,9,10,1
619,1000,9,21,2
619,1010,9,29,3
619,1020,9,43,4
619,1030,9,56,5
619,1040,10,25,6
619,1050,10,50,7
619,1060,11,7,8
619,1070,11,35,9
117,990,9,20,1
117,1000,9,31,2
117,1010,9,39,3
117,1040,10,20,4
117,1070,11,8,5
621,990,9,35,1
621,1000,9,46,2
621,1010,9,55,3
621,1020,10,10,4
621,1030,10,22,5
621,1040,10,48,6
621,1050,11,14,7
621,1060,11,33,8
621,1070,11,48,9
817,990,10,0,1
817,1000,10,11,2
817,1010,10,19,3
817,1020,10,34,4
817,1030,10,47,5
817,1035,10,58,6
817,1040,11,17,7
817,1043,11,30,8
817,1047,11,41,9
817,1050,11,55,10
817,1060,12,13,11
817,1070,12,28,12
625,990,10,10,1
625,1000,10,21,2
625,1010,10,29,3
625,1020,10,43,4
625,1030,10,56,5
625,1040,11,25,6
625,1050,11,50,7
625,1060,12,7,8
625,1070,12,35,9
121,990,10,20,1
121,1000,10,31,2
121,1010,10,39,3
121,1040,11,20,4
121,1070,12,8,5
627,990,10,35,1
627,1000,10,46,2
627,1010,10,55,3
627,1020,11,10,4
627,1030,11,22,5
627,1040,11,48,6
627,1050,12,14,7
627,1060,12,33,8
627,1070,12,48,9
821,990,11,0,1
821,1000,11,11,2
821,1010,11,19,3
821,1020,11,34,4
821,1030,11,47,5
821,1035,11,58,6
821,1040,12,17,7
821,1043,12,30,8
821,1047,12,41,9
821,1050,12,55,10
821,1060,13,13,11
821,1070,13,28,12
125,990,11,20,1
125,1000,11,31,2
125,1010,11,39,3
125,1040,12,20,4
125,1070,13,8,5
633,990,11,35,1
633,1000,11,46,2
633,1010,11,55,3
633,1020,12,10,4
