TrainNo,Mon,Tue,Wed,Thu,Fri,Sat,Sun
3161,1,1,1,1,1,1,1
701,1,1,1,1,1,0,1
3147,1,1,1,1,1,1,1
3229,1,1,1,1,1,1,1
3242,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1
3258,1,1,1,1,1,1,1
3054,1,1,1,1,1,1,1
704,1,1,1,1,1,1,1
506,1,1,1,1,1,1,0
114,1,1,1,1,1,1,1
3201,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1
3221,1,1,1,1,1,1,1
713,1,1,1,1,1,1,0
3218,1,1,1,1,1,1,1
751,1,1,1,1,1,1,1
3191,1,1,1,1,1,1,1
185,0,0,0,0,0,0,1
3088,1,1,1,1,1,1,1
3232,1,1,1,1,1,1,1
3231,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1
145,1,1,1,1,1,1,0
3061,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1
3238,1,1,1,1,1,1,1
3310,1,1,1,1,1,1,1
3328,1,1,1,1,1,1,1
3178,1,1,1,1,1,1,1
3212,1,1,1,1,1,1,1
708,1,1,1,1,0,1,0
3158,1,1,1,1,1,1,1
3262,1,1,1,1,1,1,1
303,1,1,1,1,1,1,1
3252,1,1,1,1,1,1,1
3162,1,1,1,1,1,1,1
3062,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1
3320,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1
128,1,1,1,1,1,1,0
3281,1,1,1,1,1,1,1
758,0,0,0,0,1,0,1
175,1,1,1,1,1,1,1
3278,1,1,1,1,1,1,1
3305,1,1,1,1,1,1,1
3294,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1
178,0,0,0,0,0,0,1
125,1,1,1,1,1,1,1
3222,1,1,1,1,1,1,1
710,0,0,0,0,1,0,0
311,1,1,1,1,1,1,1
3122,1,1,1,1,1,1,1
3171,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1
3288,1,1,1,1,1,1,1
3208,1,1,1,1,1,1,1
3182,1,1,1,1,1,1,1
3145,1,1,1,1,1,1,1
3292,1,1,1,1,1,1,1
3051,1,1,1,1,1,1,1
3072,1,1,1,1,1,1,1
3227,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1
3248,1,1,1,1,1,1,1
3181,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1
3188,1,1,1,1,1,1,1
3241,1,1,1,1,1,1,1
3237,1,1,1,1,1,1,1
3172,1,1,1,1,1,1,1
3168,1,1,1,1,1,1,1
3132,1,1,1,1,1,1,1
3121,1,1,1,1,1,1,1
3052,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1
3271,1,1,1,1,1,1,1
3118,1,1,1,1,1,1,1
3331,1,1,1,1,1,1,1
302,1,1,1,1,1,1,1
3148,1,1,1,1,1,1,1
3261,1,1,1,1,1,1,1
3192,1,1,1,1,1,1,1
522,1,1,1,1,1,1,1
3311,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1
3031,1,1,1,1,1,1,1
3197,1,1,1,1,1,1,1
3128,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1
702,1,1,1,1,1,1,1
3266,1,1,1,1,1,1,1
513,1,1,1,1,1,1,1
3053,1,1,1,1,1,1,1
3235,1,1,1,1,1,1,1
3267,1,1,1,1,1,1,1
3073,1,1,1,1,1,1,1
3142,1,1,1,1,1,1,1
3117,1,1,1,1,1,1,1
707,1,1,1,1,1,1,1
3277,1,1,1,1,1,1,1
3287,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1
3282,1,1,1,1,1,1,1
3029,1,1,1,1,1,1,1
3151,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1
3037,1,1,1,1,1,1,1
3081,1,1,1,1,1,1,1
3141,1,1,1,1,1,1,1
3251,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1
3202,1,1,1,1,1,1,1
3137,1,1,1,1,1,1,1
3250,1,1,1,1,1,1,1
3177,1,1,1,1,1,1,1
554,1,1,1,1,1,1,1
3228,1,1,1,1,1,1,1
706,0,0,0,0,0,0,1
3078,1,1,1,1,1,1,1
3272,1,1,1,1,1,1,1
3033,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1
3140,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1
3247,1,1,1,1,1,1,1
3257,1,1,1,1,1,1,1
3071,1,1,1,1,1,1,1
3198,1,1,1,1,1,1,1
712,0,0,0,0,0,0,1
105,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1
3131,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1
3057,1,1,1,1,1,1,1
3127,1,1,1,1,1,1,1
3030,1,1,1,1,1,1,1
561,1,1,1,1,1,1,1
318,1,1,1,1,1,1,1
308,1,1,1,1,1,1,1
516,1,1,1,1,1,1,1
3157,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1
711,0,0,0,0,0,1,0
317,1,1,1,1,1,1,1
3111,1,1,1,1,1,1,1
3058,1,1,1,1,1,1,1
3187,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1
3087,1,1,1,1,1,1,1
3082,1,1,1,1,1,1,1
3064,1,1,1,1,1,1,1
754,1,1,1,1,1,1,0
3217,1,1,1,1,1,1,1
3067,1,1,1,1,1,1,1
3207,1,1,1,1,1,1,1
3074,1,1,1,1,1,1,1
3268,1,1,1,1,1,1,1
3063,1,1,1,1,1,1,1
3348,1,1,1,1,1,1,1
3138,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1
3334,1,1,1,1,1,1,1
108,1,1,1,1,1,1,0
3211,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1
3167,1,1,1,1,1,1,1
3084,1,1,1,1,1,1,1
3152,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1
715,0,0,0,0,0,0,1
142,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1
709,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1
327,0,0,1,1,0,0,0
172,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1
373,0,0,1,1,0,0,0
118,1,1,1,1,1,1,1
328,0,0,1,1,0,0,0
332,0,0,1,1,0,0,0
146,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1
2166,1,1,1,1,1,1,1
2144,1,1,1,1,1,1,1
2615,1,1,1,1,1,1,1
2183,1,1,1,1,1,1,1
2133,1,1,1,1,1,1,1
2628,1,1,1,1,1,1,1
2617,1,1,1,1,1,1,1
2204,1,1,1,1,1,1,1
2270,1,1,1,1,1,1,1
2618,1,1,1,1,1,1,1
2243,1,1,1,1,1,1,1
2234,1,1,1,1,1,1,1
2213,1,1,1,1,1,1,1
2607,1,1,1,1,1,1,1
2601,1,1,1,1,1,1,1
3297,1,1,1,1,1,1,1
2237,1,1,1,1,1,1,1
2203,1,1,1,1,1,1,1
2603,1,1,1,1,1,1,1
2612,1,1,1,1,1,1,1
2264,1,1,1,1,1,1,1
2604,1,1,1,1,1,1,1
2122,1,1,1,1,1,1,1
2131,1,1,1,1,1,1,1
2120,1,1,1,1,1,1,1
2190,1,1,1,1,1,1,1
2267,1,1,1,1,1,1,1
2214,1,1,1,1,1,1,1
2116,1,1,1,1,1,1,1
2164,1,1,1,1,1,1,1
2269,1,1,1,1,1,1,1
2254,1,1,1,1,1,1,1
2610,1,1,1,1,1,1,1
2608,1,1,1,1,1,1,1
2101,1,1,1,1,1,1,1
2623,1,1,1,1,1,1,1
2149,1,1,1,1,1,1,1
2611,1,1,1,1,1,1,1
2274,1,1,1,1,1,1,1
2146,1,1,1,1,1,1,1
2284,1,1,1,1,1,1,1
2273,1,1,1,1,1,1,1
2257,1,1,1,1,1,1,1
2621,1,1,1,1,1,1,1
2194,1,1,1,1,1,1,1
2103,1,1,1,1,1,1,1
2627,1,1,1,1,1,1,1
2174,1,1,1,1,1,1,1
2613,1,1,1,1,1,1,1
2246,1,1,1,1,1,1,1
2622,1,1,1,1,1,1,1
2619,1,1,1,1,1,1,1
2236,1,1,1,1,1,1,1
2153,1,1,1,1,1,1,1
2184,1,1,1,1,1,1,1
2606,1,1,1,1,1,1,1
2138,1,1,1,1,1,1,1
2263,1,1,1,1,1,1,1
2191,1,1,1,1,1,1,1
2624,1,1,1,1,1,1,1
2633,1,1,1,1,1,1,1
2163,1,1,1,1,1,1,1
2154,1,1,1,1,1,1,1
2223,1,1,1,1,1,1,1
2631,1,1,1,1,1,1,1
2128,1,1,1,1,1,1,1
2143,1,1,1,1,1,1,1
2614,1,1,1,1,1,1,1
2244,1,1,1,1,1,1,1
2115,1,1,1,1,1,1,1
2193,1,1,1,1,1,1,1
2173,1,1,1,1,1,1,1
2226,1,1,1,1,1,1,1
2632,1,1,1,1,1,1,1
2602,1,1,1,1,1,1,1
2224,1,1,1,1,1,1,1
2134,1,1,1,1,1,1,1
2253,1,1,1,1,1,1,1
2123,1,1,1,1,1,1,1
2124,1,1,1,1,1,1,1
2113,1,1,1,1,1,1,1
2114,1,1,1,1,1,1,1
2233,1,1,1,1,1,1,1
2634,1,1,1,1,1,1,1
2294,1,1,1,1,1,1,1
3143,1,1,1,1,1,1,1
2260,1,1,1,1,1,1,1
2518,1,1,1,1,1,1,1
4727,1,1,1,1,1,1,1
4733,1,1,1,1,1,1,0
4735,1,1,1,1,1,1,1
4738,1,1,1,1,1,1,1
4736,1,1,1,1,1,1,1
4732,1,1,1,1,1,1,1
4728,1,1,1,1,1,1,1
4731,1,1,1,1,1,1,1
4724,1,1,1,1,1,1,1
4711,1,1,1,1,1,1,1
4713,1,1,1,1,1,1,1
4716,1,1,1,1,1,1,1
4703,1,1,1,1,1,1,1
4739,0,0,0,0,0,0,1
4734,1,1,1,1,1,1,1
4705,1,1,1,1,1,1,1
4706,1,1,1,1,1,1,1
4725,1,1,1,1,1,1,1
4717,1,1,1,1,1,1,1
4723,1,1,1,1,1,1,1
4718,1,1,1,1,1,1,1
4721,1,1,1,1,1,1,1
4726,1,1,1,1,1,1,1
4704,1,1,1,1,1,1,1
4708,1,1,1,1,1,1,1
4712,1,1,1,1,1,1,1
4741,1,1,1,1,1,1,1
4742,1,1,1,1,1,1,1
4737,1,1,1,1,1,1,1
4714,0,0,0,0,0,1,1
4707,0,0,0,0,0,1,1
4719,1,1,1,1,1,0,0
4720,1,1,1,1,1,0,0
4715,0,0,0,0,0,1,1
4709,1,1,1,1,1,0,0
4710,1,1,1,1,1,0,0
4722,0,0,0,0,0,1,1
2725,1,1,1,1,1,1,1
2023,1,1,1,1,1,1,1
2712,1,1,1,1,1,1,1
2718,1,1,1,1,1,1,1
2702,1,1,1,1,1,1,1
2706,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1
2004,1,1,1,1,1,1,1
2704,1,1,1,1,1,1,1
2731,0,0,0,0,1,1,1
177,1,1,1,1,1,1,1
2714,1,1,1,1,1,1,1
2732,0,0,0,0,1,1,1
2722,1,1,1,1,1,1,1
2724,1,1,1,1,1,1,1
2728,1,1,1,1,1,1,1
2713,1,1,1,1,1,1,1
2717,1,1,1,1,1,1,1
2726,1,1,1,1,1,1,1
2027,1,1,1,1,1,1,1
2716,1,1,1,1,1,1,1
2003,1,1,1,1,1,1,1
2727,1,1,1,1,1,1,1
2721,1,1,1,1,1,1,1
2703,1,1,1,1,1,1,1
2723,1,1,1,1,1,1,1
2711,1,1,1,1,1,1,1
2708,1,1,1,1,1,1,1
2705,1,1,1,1,1,1,1
2707,1,1,1,1,1,1,1
2715,1,1,1,1,1,1,1
126,0,0,0,0,0,0,1
4556,1,1,1,1,1,1,1
4558,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1
4513,1,1,1,1,1,1,1
4537,1,1,1,1,1,1,1
602,1,1,1,1,1,1,1
4528,1,1,1,1,1,1,1
4543,1,1,1,1,1,1,1
4514,1,1,1,1,1,1,1
611,1,1,1,1,1,1,1
653,1,1,1,1,1,1,1
4516,1,1,1,1,1,1,1
4534,1,1,1,1,1,1,1
4503,1,1,1,1,1,1,1
4521,1,1,1,1,1,1,1
4517,1,1,1,1,1,1,1
4552,1,1,1,1,1,0,0
4550,0,0,0,0,0,1,1
4508,1,1,1,1,1,1,1
4547,1,1,1,1,1,1,1
4548,1,1,1,1,1,1,1
4507,1,1,1,1,1,1,1
4518,1,1,1,1,1,1,1
4553,1,1,1,1,1,1,1
4542,1,1,1,1,1,1,0
4540,0,0,0,0,0,0,1
4512,1,1,1,1,1,1,1
4519,1,1,1,1,1,1,1
4504,1,1,1,1,1,0,0
4224,1,1,1,1,1,1,1
4131,1,1,1,1,1,1,1
4244,1,1,1,1,1,1,1
4216,1,1,1,1,1,1,1
4248,1,1,1,1,1,1,1
4151,1,1,1,1,1,1,1
4154,1,1,1,1,1,1,1
4138,1,1,1,1,1,1,1
4193,1,1,1,1,1,1,0
4208,1,1,1,1,1,1,1
4243,1,1,1,1,1,1,1
4744,1,1,1,1,1,1,1
4135,1,1,1,1,1,1,1
4240,1,1,1,1,1,1,1
4152,1,1,1,1,1,1,1
4171,1,1,1,1,1,1,1
4199,0,0,0,0,0,0,1
4103,1,1,1,1,1,1,1
4112,1,1,1,1,1,1,1
4209,1,1,1,1,1,1,1
4172,1,1,1,1,1,1,1
4191,1,1,1,1,1,1,1
4107,1,1,1,1,1,1,1
4211,1,1,1,1,1,1,1
4137,1,1,1,1,1,1,1
4252,1,1,1,1,1,1,1
4235,1,1,1,1,1,1,1
4188,1,1,1,1,1,1,1
4189,0,0,0,0,0,0,1
4173,1,1,1,1,1,1,1
4221,1,1,1,1,1,1,1
4162,1,1,1,1,1,1,1
4128,1,1,1,1,1,1,1
4178,1,1,1,1,1,1,1
4113,1,1,1,1,1,1,1
4241,1,1,1,1,1,1,1
4182,1,1,1,1,1,1,1
4234,1,1,1,1,1,1,1
4177,1,1,1,1,1,1,1
4148,1,1,1,1,1,1,1
4197,1,1,1,1,1,1,0
4218,1,1,1,1,1,1,1
4225,1,1,1,1,1,1,1
4198,1,1,1,1,1,1,1
4111,1,1,1,1,1,1,0
4118,1,1,1,1,1,1,0
4183,1,1,1,1,1,1,1
4123,1,1,1,1,1,1,1
4232,1,1,1,1,1,1,1
407,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1
4030,1,1,1,1,1,1,1
4023,0,0,0,0,0,0,1
4026,0,0,0,0,0,0,1
4027,1,1,1,1,1,1,1
4021,1,1,1,1,1,1,1
262,1,1,1,1,1,1,1
4046,1,1,1,1,1,1,1
688,1,1,1,1,1,1,0
4003,1,1,1,1,1,1,1
272,1,1,1,1,1,1,1
605,1,1,1,1,1,1,1
4022,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1
2042,1,1,1,1,1,1,1
2016,1,1,1,1,1,1,1
2021,1,1,1,1,1,1,1
2017,1,1,1,1,1,1,1
3751,1,1,1,1,1,1,1
3766,1,1,1,1,1,1,1
3702,1,1,1,1,1,1,1
3704,1,1,1,1,1,1,1
3728,1,1,1,1,1,1,1
3747,1,1,1,1,1,1,1
3723,1,1,1,1,1,1,1
